,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,l1_oc,filter_multiplier,kernel_size,stride
0,1,1,2.249699807128906,0.14648,19.975195169448853,21.707564115524292,0.2472,756442,0.01,128,0.9,18,2,3,1
1,1,2,1.836105623779297,0.33672,19.84966278076172,41.579161405563354,0.3806,756442,0.01,128,0.9,18,2,3,1
2,1,3,1.52126884765625,0.44826,19.848399877548218,61.44252896308899,0.5039,756442,0.01,128,0.9,18,2,3,1
3,1,4,1.3321544821166993,0.5191,19.78908348083496,81.24656748771667,0.5428,756442,0.01,128,0.9,18,2,3,1
4,1,5,1.182704488067627,0.57792,19.81227970123291,101.07281494140625,0.5833,756442,0.01,128,0.9,18,2,3,1
5,1,6,1.0346201565551758,0.6355,19.83935785293579,120.92714834213257,0.6228,756442,0.01,128,0.9,18,2,3,1
6,1,7,0.9113660931396484,0.6813,19.821007251739502,140.76308345794678,0.646,756442,0.01,128,0.9,18,2,3,1
7,1,8,0.814987666015625,0.71394,19.865835189819336,160.6438488960266,0.6572,756442,0.01,128,0.9,18,2,3,1
8,1,9,0.717555849533081,0.7484,19.831029653549194,180.48983764648438,0.6666,756442,0.01,128,0.9,18,2,3,1
9,1,10,0.6250672203826905,0.77946,19.79677724838257,200.30089163780212,0.6687,756442,0.01,128,0.9,18,2,3,1
10,1,11,0.5594813875579834,0.80358,19.818584442138672,220.13343119621277,0.6676,756442,0.01,128,0.9,18,2,3,1
11,1,12,0.5183017058563233,0.81452,19.907771348953247,240.0561203956604,0.6517,756442,0.01,128,0.9,18,2,3,1
12,1,13,0.4597567722702026,0.8367,19.848418712615967,259.9193305969238,0.6552,756442,0.01,128,0.9,18,2,3,1
13,1,14,0.40262142166137693,0.85722,19.87647294998169,279.8117551803589,0.6723,756442,0.01,128,0.9,18,2,3,1
14,1,15,0.3357718788146973,0.87874,19.84261155128479,299.66930055618286,0.6582,756442,0.01,128,0.9,18,2,3,1
15,1,16,0.305279819355011,0.89124,19.83711814880371,319.52135133743286,0.6573,756442,0.01,128,0.9,18,2,3,1
16,1,17,0.2533084918022156,0.91132,19.89669179916382,339.4329102039337,0.6382,756442,0.01,128,0.9,18,2,3,1
17,1,18,0.22071538784980774,0.92336,19.876154899597168,359.32402515411377,0.6461,756442,0.01,128,0.9,18,2,3,1
18,1,19,0.18179005796432496,0.93582,19.806063175201416,379.14604568481445,0.6561,756442,0.01,128,0.9,18,2,3,1
19,1,20,0.15870932370185853,0.944,19.86993718147278,399.0299184322357,0.6588,756442,0.01,128,0.9,18,2,3,1
20,1,21,0.13040106776237487,0.9552,19.81646728515625,418.8623149394989,0.6498,756442,0.01,128,0.9,18,2,3,1
21,1,22,0.1191821490240097,0.95956,19.857295989990234,438.7335720062256,0.6533,756442,0.01,128,0.9,18,2,3,1
22,1,23,0.1110617263507843,0.96118,19.827961444854736,458.57646679878235,0.6639,756442,0.01,128,0.9,18,2,3,1
23,1,24,0.09089981136322021,0.96984,19.869652032852173,478.46107721328735,0.673,756442,0.01,128,0.9,18,2,3,1
24,1,25,0.08335405175209046,0.97212,19.817004919052124,498.29301476478577,0.6768,756442,0.01,128,0.9,18,2,3,1
25,1,26,0.07609642622470855,0.97412,19.913265228271484,518.2212376594543,0.687,756442,0.01,128,0.9,18,2,3,1
26,1,27,0.053523575555086134,0.98204,19.810426235198975,538.0466268062592,0.682,756442,0.01,128,0.9,18,2,3,1
27,1,28,0.046773647348880766,0.98412,19.792222261428833,557.8558111190796,0.6856,756442,0.01,128,0.9,18,2,3,1
28,1,29,0.044507417902946475,0.985,19.88547921180725,577.7573616504669,0.6849,756442,0.01,128,0.9,18,2,3,1
29,1,30,0.04337400279283524,0.98576,19.799009323120117,597.5713005065918,0.6833,756442,0.01,128,0.9,18,2,3,1
30,2,1,2.2557582501220703,0.13662,22.892327547073364,23.150665283203125,0.2261,508474,0.01,128,0.9,18,2,5,1
31,2,2,1.927400958557129,0.29366,22.881572484970093,46.047157287597656,0.3288,508474,0.01,128,0.9,18,2,5,1
32,2,3,1.6387202499389648,0.40268,22.829657793045044,68.89148020744324,0.456,508474,0.01,128,0.9,18,2,5,1
33,2,4,1.449910744934082,0.47544,22.82807683944702,91.73651242256165,0.4952,508474,0.01,128,0.9,18,2,5,1
34,2,5,1.3238732174682617,0.5264,22.819051504135132,114.5714864730835,0.5418,508474,0.01,128,0.9,18,2,5,1
35,2,6,1.2134138778686523,0.56634,22.85619878768921,137.44663453102112,0.5614,508474,0.01,128,0.9,18,2,5,1
36,2,7,1.1140287547302246,0.60358,22.83822274208069,160.3007824420929,0.5848,508474,0.01,128,0.9,18,2,5,1
37,2,8,1.0158105821228027,0.63948,22.83731484413147,183.1530306339264,0.6136,508474,0.01,128,0.9,18,2,5,1
38,2,9,0.9294951361083984,0.67242,22.845431566238403,206.01439118385315,0.6375,508474,0.01,128,0.9,18,2,5,1
39,2,10,0.8551584329223633,0.70044,22.839648008346558,228.86899995803833,0.6397,508474,0.01,128,0.9,18,2,5,1
40,2,11,0.7946564018249511,0.7228,22.78354549407959,251.6684708595276,0.6459,508474,0.01,128,0.9,18,2,5,1
41,2,12,0.7395246273803711,0.74114,22.761849880218506,274.44525384902954,0.6419,508474,0.01,128,0.9,18,2,5,1
42,2,13,0.6861642412567138,0.75924,23.521219730377197,297.98140931129456,0.6454,508474,0.01,128,0.9,18,2,5,1
43,2,14,0.6394464993286133,0.7769,23.12819814682007,321.12404561042786,0.6506,508474,0.01,128,0.9,18,2,5,1
44,2,15,0.5895086053466797,0.79162,23.28897786140442,344.46884655952454,0.6526,508474,0.01,128,0.9,18,2,5,1
45,2,16,0.5385758727264405,0.81032,22.987942457199097,367.4737434387207,0.6464,508474,0.01,128,0.9,18,2,5,1
46,2,17,0.4875020551300049,0.82808,22.94892644882202,390.4376013278961,0.6539,508474,0.01,128,0.9,18,2,5,1
47,2,18,0.4510595655059814,0.83914,22.82727026939392,413.28079557418823,0.645,508474,0.01,128,0.9,18,2,5,1
48,2,19,0.43380484508514405,0.84804,22.801875352859497,436.09859108924866,0.6353,508474,0.01,128,0.9,18,2,5,1
49,2,20,0.39040287158966064,0.8624,22.815947771072388,458.92947244644165,0.6257,508474,0.01,128,0.9,18,2,5,1
50,2,21,0.3566287720489502,0.87296,22.819081783294678,481.76450538635254,0.6324,508474,0.01,128,0.9,18,2,5,1
51,2,22,0.33145179702758787,0.88346,22.796629667282104,504.57607412338257,0.6305,508474,0.01,128,0.9,18,2,5,1
52,2,23,0.33257445960998533,0.88318,22.7248592376709,527.320880651474,0.6377,508474,0.01,128,0.9,18,2,5,1
53,2,24,0.3073302150344849,0.89394,22.834782123565674,550.1715943813324,0.6628,508474,0.01,128,0.9,18,2,5,1
54,2,25,0.27429150352478027,0.90486,22.822096347808838,573.0096206665039,0.6609,508474,0.01,128,0.9,18,2,5,1
55,2,26,0.249815563621521,0.91328,22.832869052886963,595.8584196567535,0.6394,508474,0.01,128,0.9,18,2,5,1
56,2,27,0.23203695865631105,0.91862,22.82116460800171,618.6952910423279,0.6523,508474,0.01,128,0.9,18,2,5,1
57,2,28,0.20490623258590698,0.92852,22.98776912689209,641.6989290714264,0.6429,508474,0.01,128,0.9,18,2,5,1
58,2,29,0.18303796166419983,0.93742,22.879152059555054,664.594001531601,0.6547,508474,0.01,128,0.9,18,2,5,1
59,2,30,0.17270739699363707,0.94086,22.873750925064087,687.48371052742,0.66,508474,0.01,128,0.9,18,2,5,1
60,3,1,2.212639832458496,0.16246,24.878187656402588,25.09261417388916,0.257,698122,0.01,128,0.9,18,2,7,1
61,3,2,1.8544935891723633,0.32086,24.900289297103882,50.008891344070435,0.3813,698122,0.01,128,0.9,18,2,7,1
62,3,3,1.5827205529785155,0.4205,24.932084560394287,74.95591688156128,0.446,698122,0.01,128,0.9,18,2,7,1
63,3,4,1.4227533926391602,0.48648,24.908889293670654,99.87975311279297,0.5039,698122,0.01,128,0.9,18,2,7,1
64,3,5,1.2958546389770509,0.5349,24.844338178634644,124.74050331115723,0.5389,698122,0.01,128,0.9,18,2,7,1
65,3,6,1.1938702464294433,0.57554,24.94304370880127,149.6994788646698,0.5628,698122,0.01,128,0.9,18,2,7,1
66,3,7,1.0909220646667481,0.61326,24.874565362930298,174.5899691581726,0.5765,698122,0.01,128,0.9,18,2,7,1
67,3,8,1.0014406072998048,0.6465,24.880170106887817,199.48606538772583,0.5938,698122,0.01,128,0.9,18,2,7,1
68,3,9,0.9271414405822754,0.67364,24.91594624519348,224.4169738292694,0.6026,698122,0.01,128,0.9,18,2,7,1
69,3,10,0.8663504278564453,0.69594,24.934200048446655,249.36613392829895,0.5831,698122,0.01,128,0.9,18,2,7,1
70,3,11,0.8167485261535644,0.7123,24.892503023147583,274.2735986709595,0.5813,698122,0.01,128,0.9,18,2,7,1
71,3,12,0.7435941039276123,0.73746,24.946770191192627,299.23531699180603,0.596,698122,0.01,128,0.9,18,2,7,1
72,3,13,0.686613353805542,0.75598,24.865950345993042,324.1162266731262,0.6006,698122,0.01,128,0.9,18,2,7,1
73,3,14,0.6270550192260742,0.77946,24.870362520217896,349.0025198459625,0.5944,698122,0.01,128,0.9,18,2,7,1
74,3,15,0.5568971101379394,0.8024,24.91055989265442,373.9280319213867,0.5872,698122,0.01,128,0.9,18,2,7,1
75,3,16,0.5206604145050049,0.8177,24.920007944107056,398.8629665374756,0.5724,698122,0.01,128,0.9,18,2,7,1
76,3,17,0.47453292999267577,0.83396,24.928804874420166,423.8076961040497,0.5865,698122,0.01,128,0.9,18,2,7,1
77,3,18,0.42928931797027586,0.84924,24.966575145721436,448.78919792175293,0.5738,698122,0.01,128,0.9,18,2,7,1
78,3,19,0.410057459526062,0.85612,24.921553373336792,473.72768998146057,0.5847,698122,0.01,128,0.9,18,2,7,1
79,3,20,0.34572934299468994,0.88044,24.87899136543274,498.62214255332947,0.5732,698122,0.01,128,0.9,18,2,7,1
80,3,21,0.3328242360687256,0.88424,24.94403386116028,523.5811338424683,0.5778,698122,0.01,128,0.9,18,2,7,1
81,3,22,0.30106610702514647,0.8964,24.978195667266846,548.5742876529694,0.5806,698122,0.01,128,0.9,18,2,7,1
82,3,23,0.27598381700515745,0.90554,24.903491020202637,573.4934103488922,0.5868,698122,0.01,128,0.9,18,2,7,1
83,3,24,0.2563257500076294,0.91332,24.888044595718384,598.3966770172119,0.5989,698122,0.01,128,0.9,18,2,7,1
84,3,25,0.22958661858558654,0.92166,24.84504795074463,623.2566661834717,0.5942,698122,0.01,128,0.9,18,2,7,1
85,3,26,0.20264625803947448,0.9323,24.826019287109375,648.0981318950653,0.5951,698122,0.01,128,0.9,18,2,7,1
86,3,27,0.16919420506477356,0.94208,24.877272129058838,672.990362405777,0.6044,698122,0.01,128,0.9,18,2,7,1
87,3,28,0.15563690212249756,0.9488,24.863507986068726,697.8698010444641,0.5967,698122,0.01,128,0.9,18,2,7,1
88,3,29,0.1421986161518097,0.95258,24.896750926971436,722.7825005054474,0.6036,698122,0.01,128,0.9,18,2,7,1
89,3,30,0.128095866689682,0.95722,24.895572423934937,747.6938824653625,0.6018,698122,0.01,128,0.9,18,2,7,1
90,4,1,2.2320344702148436,0.16104,26.785435914993286,27.019842624664307,0.2252,1505470,0.01,128,0.9,32,2,3,1
91,4,2,1.8686500305175782,0.31752,26.79468536376953,53.82947087287903,0.398,1505470,0.01,128,0.9,32,2,3,1
92,4,3,1.5373744604492188,0.44256,26.788583993911743,80.63401556015015,0.4885,1505470,0.01,128,0.9,32,2,3,1
93,4,4,1.3412447158813476,0.51934,26.857360363006592,107.50751876831055,0.5473,1505470,0.01,128,0.9,32,2,3,1
94,4,5,1.188829362487793,0.577,26.743836879730225,134.26631116867065,0.5977,1505470,0.01,128,0.9,32,2,3,1
95,4,6,1.039962593383789,0.63366,26.76790738105774,161.05014419555664,0.64,1505470,0.01,128,0.9,32,2,3,1
96,4,7,0.897840972290039,0.68388,26.802873134613037,187.86928963661194,0.6563,1505470,0.01,128,0.9,32,2,3,1
97,4,8,0.779324289855957,0.72774,26.770522594451904,214.65576934814453,0.6668,1505470,0.01,128,0.9,32,2,3,1
98,4,9,0.6840251477050782,0.76322,26.81161093711853,241.48378944396973,0.6686,1505470,0.01,128,0.9,32,2,3,1
99,4,10,0.5925425241851807,0.7936,26.79621386528015,268.29592728614807,0.6765,1505470,0.01,128,0.9,32,2,3,1
100,4,11,0.504819133605957,0.823,26.740638732910156,295.05451345443726,0.6781,1505470,0.01,128,0.9,32,2,3,1
101,4,12,0.4386755128097534,0.84442,26.741724252700806,321.8105239868164,0.6776,1505470,0.01,128,0.9,32,2,3,1
102,4,13,0.37082286067962644,0.86896,26.74747109413147,348.57504963874817,0.6864,1505470,0.01,128,0.9,32,2,3,1
103,4,14,0.300507971534729,0.89508,26.761597156524658,375.353568315506,0.676,1505470,0.01,128,0.9,32,2,3,1
104,4,15,0.2521690068435669,0.9099,26.7734591960907,402.141991853714,0.6661,1505470,0.01,128,0.9,32,2,3,1
105,4,16,0.21047930166244508,0.9264,26.74948763847351,428.9059498310089,0.6693,1505470,0.01,128,0.9,32,2,3,1
106,4,17,0.1561513942718506,0.9442,26.78547167778015,455.7083444595337,0.6833,1505470,0.01,128,0.9,32,2,3,1
107,4,18,0.12955992863655091,0.95548,26.821847438812256,482.5448884963989,0.6818,1505470,0.01,128,0.9,32,2,3,1
108,4,19,0.10311669480800628,0.96506,26.822216749191284,509.3830361366272,0.6943,1505470,0.01,128,0.9,32,2,3,1
109,4,20,0.08513319015026093,0.97028,26.70875597000122,536.1087026596069,0.6926,1505470,0.01,128,0.9,32,2,3,1
110,4,21,0.07166493239879608,0.97554,26.773898124694824,562.8973379135132,0.6847,1505470,0.01,128,0.9,32,2,3,1
111,4,22,0.05735260181903839,0.98126,26.792091608047485,589.7053534984589,0.6839,1505470,0.01,128,0.9,32,2,3,1
112,4,23,0.04639849154472351,0.98462,26.794238805770874,616.5165679454803,0.7012,1505470,0.01,128,0.9,32,2,3,1
113,4,24,0.045022879056930545,0.98456,26.73064613342285,643.2631375789642,0.702,1505470,0.01,128,0.9,32,2,3,1
114,4,25,0.035146452951431276,0.98796,26.834737539291382,670.1128339767456,0.7037,1505470,0.01,128,0.9,32,2,3,1
115,4,26,0.03362768786430359,0.98864,26.784104347229004,696.9118809700012,0.7106,1505470,0.01,128,0.9,32,2,3,1
116,4,27,0.02662902063757181,0.991,26.806073904037476,723.7338945865631,0.7153,1505470,0.01,128,0.9,32,2,3,1
117,4,28,0.02199453064918518,0.99282,26.7843816280365,750.5342047214508,0.7131,1505470,0.01,128,0.9,32,2,3,1
118,4,29,0.022752582765817642,0.99298,26.784871578216553,777.3340282440186,0.7056,1505470,0.01,128,0.9,32,2,3,1
119,4,30,0.022059030319452284,0.99268,26.743650674819946,804.0936377048492,0.7091,1505470,0.01,128,0.9,32,2,3,1
120,5,1,2.2392838806152344,0.14612,31.045498847961426,31.246958255767822,0.2381,1365694,0.01,128,0.9,32,2,5,1
121,5,2,1.849589205932617,0.3209,30.98027801513672,62.24316215515137,0.3814,1365694,0.01,128,0.9,32,2,5,1
122,5,3,1.5761230310058594,0.42344,31.062050104141235,93.32114267349243,0.467,1365694,0.01,128,0.9,32,2,5,1
123,5,4,1.353190859375,0.50878,30.99382781982422,124.32992887496948,0.5541,1365694,0.01,128,0.9,32,2,5,1
124,5,5,1.189481944732666,0.57452,31.078195095062256,155.4240550994873,0.5898,1365694,0.01,128,0.9,32,2,5,1
125,5,6,1.0431392601013183,0.6324,31.092991590499878,186.53303146362305,0.6149,1365694,0.01,128,0.9,32,2,5,1
126,5,7,0.9096957659912109,0.6786,31.26310443878174,217.8120641708374,0.6528,1365694,0.01,128,0.9,32,2,5,1
127,5,8,0.7912486508178711,0.72272,31.04518485069275,248.87317776679993,0.6833,1365694,0.01,128,0.9,32,2,5,1
128,5,9,0.7006296459960938,0.75518,30.972578287124634,279.86212158203125,0.688,1365694,0.01,128,0.9,32,2,5,1
129,5,10,0.6080341624450684,0.7867,30.99818468093872,310.8762421607971,0.6864,1365694,0.01,128,0.9,32,2,5,1
130,5,11,0.5500776766967773,0.8079,31.003376722335815,341.89674496650696,0.6721,1365694,0.01,128,0.9,32,2,5,1
131,5,12,0.4856762134552002,0.82788,31.00006127357483,372.91276478767395,0.6923,1365694,0.01,128,0.9,32,2,5,1
132,5,13,0.4330649919128418,0.84644,31.011446952819824,403.94042444229126,0.6842,1365694,0.01,128,0.9,32,2,5,1
133,5,14,0.3671142324447632,0.8692,31.01094365119934,434.9682900905609,0.686,1365694,0.01,128,0.9,32,2,5,1
134,5,15,0.32144772972106933,0.88552,31.001643419265747,465.9868948459625,0.6873,1365694,0.01,128,0.9,32,2,5,1
